District,HASC,Pop-2011,Pop-2001,Pop-1991,Pop-1981,Area(km.ý),Capital,Sec,Zone
Achham,NP.SP.AC,"257477","231,285","198,188","185,212","1,680",Mangalsen,H,Seti
Arghakhanchi,NP.PM.AR,"197632","208,391","180,884","157,304","1,193",Sandhikharka,H,Lumbini
Baglung,NP.PM.BG,"268613","268,937","232,486","215,228","1,784",Baglung,H,Dhawalagiri
Baitadi,NP.SP.BT,"250898","234,418","200,716","179,136","1,519",Baitadi,H,Mahakali
Bajhang,NP.SP.BH,"195159","167,026","139,092","124,010","3,422",Chainpur,M,Seti
Bajura,NP.SP.BU,"134912","* 108,781","92,010","74,649","2,188",Martadi,M,Seti
Banke,NP.MP.BN,"491313","385,840","285,604","205,323","2,337",Nepalganj,T,Bheri
Bara,NP.MM.BA,"687708","559,135","415,718","318,957","1,190",Kalaiya,T,Narayani
Bardiya,NP.MP.BR,"426576","382,649","290,313","199,044","2,025",Gularia,T,Bheri
Bhaktapur,NP.MM.BK,"304651","225,461","172,952","159,767",119,Bhaktapur,H,Bagmati
Bhojpur,NP.PW.BJ,"182459","203,018","198,784","192,689","1,507",Bhojpur,H,Kosi
Chitwan,NP.MM.CH,"579984","472,048","354,488","259,571","2,218",Bharatpur,T,Narayani
Dadeldhura,NP.SP.DD,"142094","126,162","104,647","86,853","1,538",Dadeldhura,H,Mahakali
Dailekh,NP.MP.DL,"261770","225,201","187,400","166,527","1,502",Dailekh,H,Bheri
Dang Deokhuri,NP.MP.DA,"552583","462,380","354,413","266,393","2,955",Ghorahi,T,Rapti
Darchula,NP.SP.DR,"133274","121,996","101,683","90,218","2,322",Darchula,M,Mahakali
Dhading,NP.MM.DH,"336067","338,658","278,068","243,401","1,926",Dhadingbesi,H,Bagmati
Dhankuta,NP.PW.DK,"163412","166,479","146,386","129,781",891,Dhankuta,H,Kosi
Dhanusa,NP.MM.DN,"754777","671,364","543,672","432,569","1,180",Janakpur,T,Janakpur
